id,funded_amount,loan_amount,activity,sector,use,country_code,country,region,currency,partner_id,posted_time,disbursed_time,funded_time,term_in_months,lender_count,tags,borrower_genders,repayment_interval,date
655610,2275,2275,Weaving,Arts,To buy more materials for weaving such as yarn and thread to generate more income.  ,IN,India,Imphal East,INR,238,2014-01-09 08:45:07+00:00,2013-12-18 08:00:00+00:00,2014-01-13 19:16:48+00:00,43,73,"user_favorite, user_favorite, user_favorite","female, female, female, female, female, female, female, female, female, female, female, female, female, female",bullet,9/1/14
655578,1700,1700,Clothing Sales,Clothing,"To purchase more stock for the boutique shop, sell it and generate more income for future use.",IN,India,Saikul,INR,238,2014-01-09 08:00:08+00:00,2013-12-20 08:00:00+00:00,2014-01-18 22:18:11+00:00,43,57,user_favorite,"female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female",bullet,9/1/14
655705,225,225,Clothing Sales,Clothing,to purchase a variety of clothes for retail sale.,IN,India,Maynaguri,INR,334,2014-01-09 11:49:49+00:00,2013-12-26 08:00:00+00:00,2014-01-12 15:51:29+00:00,43,9,"volunteer_like, #Parent",female,bullet,9/1/14
655728,250,250,Farming,Agriculture,To purchase seeds and fertilizers for cultivating tomatoes.,IN,India,Maynaguri,INR,334,2014-01-09 12:09:44+00:00,2013-12-27 08:00:00+00:00,2014-01-11 21:25:07+00:00,43,10,,female,bullet,9/1/14
656116,250,250,Fuel/Firewood,Retail,to purchase firewood for selling in the market.,IN,India,Maynaguri,INR,334,2014-01-10 11:28:36+00:00,2013-12-28 08:00:00+00:00,2014-01-13 03:13:34+00:00,43,9,user_favorite,female,bullet,10/1/14
656136,225,225,Manufacturing,Manufacturing,"to purchase raw materials (sticks, perfume, etc.) for incense-making.",IN,India,Maynaguri,INR,334,2014-01-10 11:52:05+00:00,2013-12-24 08:00:00+00:00,2014-01-11 13:17:55+00:00,43,7,,female,bullet,10/1/14
656151,250,250,Primary/secondary school costs,Education,"To pay tuition fees, private coaching fees and other school expenses for her son. ",IN,India,Dhupguri,INR,334,2014-01-10 12:12:03+00:00,2014-01-08 08:00:00+00:00,2014-01-10 23:30:51+00:00,43,7,,female,bullet,10/1/14
656152,175,175,Primary/secondary school costs,Education,To pay school fees and buy school dresses and study materials for her daughter,IN,India,Maynaguri,INR,334,2014-01-10 12:14:40+00:00,2014-01-06 08:00:00+00:00,2014-01-10 21:28:04+00:00,43,7,,female,bullet,10/1/14
656132,225,225,Construction Supplies,Construction,to purchase more sand and stones to expand her existing business of supplying building materials.,IN,India,Maynaguri,INR,334,2014-01-10 11:46:01+00:00,2013-12-24 08:00:00+00:00,2014-01-12 16:08:54+00:00,43,9,user_favorite,female,bullet,10/1/14
656142,100,100,Rickshaw,Transportation,to purchase a rickshaw for carrying people and goods. ,IN,India,Maynaguri,INR,334,2014-01-10 11:59:39+00:00,2013-12-26 08:00:00+00:00,2014-01-10 21:34:48+00:00,43,4,,female,bullet,10/1/14
656147,250,250,Manufacturing,Manufacturing,to purchase raw materials for her incense business.,IN,India,Maynaguri,INR,334,2014-01-10 12:03:38+00:00,2013-12-28 08:00:00+00:00,2014-01-11 13:37:42+00:00,43,10,,female,bullet,10/1/14
656149,250,250,Primary/secondary school costs,Education,to pay the tuition fees and buy necessary articles for her daughter’s educational purposes. ,IN,India,Dhupguri,INR,334,2014-01-10 12:08:39+00:00,2014-01-08 08:00:00+00:00,2014-01-11 02:00:42+00:00,43,10,"volunteer_like, user_favorite",female,bullet,10/1/14
656348,250,250,Primary/secondary school costs,Education,"To pay for books, pens, study materials and tuition fees for her daughter’s schooling.",IN,India,Dhupguri,INR,334,2014-01-11 11:27:02+00:00,2014-01-08 08:00:00+00:00,2014-02-01 10:11:23+00:00,43,9,"user_favorite, user_favorite",female,bullet,11/1/14
656334,225,225,Clothing Sales,Clothing,To purchase varieties of sarees for selling.,IN,India,Maynaguri,INR,334,2014-01-11 09:40:12+00:00,2013-12-27 08:00:00+00:00,2014-01-11 21:37:38+00:00,43,7,"#Parent, #Supporting Family",female,bullet,11/1/14
656332,100,100,Farming,Agriculture,To purchase seedlings and fertilizers to grow tea on her own land. ,IN,India,Maynaguri,INR,334,2014-01-11 09:31:13+00:00,2013-12-28 08:00:00+00:00,2014-01-11 15:49:52+00:00,43,1,volunteer_pick,female,bullet,11/1/14
656345,200,200,Primary/secondary school costs,Education,To purchase educational equipment and to pay private tuition fees for her son’s education.,IN,India,Dhupguri,INR,334,2014-01-11 11:21:39+00:00,2014-01-08 08:00:00+00:00,2014-02-01 18:09:29+00:00,43,4,,female,bullet,11/1/14
656333,250,250,Farming,Agriculture,To buy banana suckers (seedlings) and fertilizer to cultivate a new crop of bananas.,IN,India,Maynaguri,INR,334,2014-01-11 09:35:22+00:00,2013-12-25 08:00:00+00:00,2014-01-11 15:49:52+00:00,43,1,volunteer_pick,female,bullet,11/1/14
656335,175,175,Farming,Agriculture,To purchase potato seeds and fertilizers for starting cultivation of potatoes.,IN,India,Dhupguri,INR,334,2014-01-11 09:48:52+00:00,2013-12-25 08:00:00+00:00,2014-01-11 20:51:21+00:00,43,7,,female,bullet,11/1/14
656337,250,250,Farming,Agriculture,To purchase potato seeds and fertilizers for cultivation of potatoes.,IN,India,Dhupguri,INR,334,2014-01-11 10:03:31+00:00,2013-12-25 08:00:00+00:00,2014-02-01 21:36:36+00:00,43,9,,female,bullet,11/1/14
656343,250,250,Primary/secondary school costs,Education,"To pay tuition fees, private coaching fees and to purchase educational equipment for her son. ",IN,India,Dhupguri,INR,334,2014-01-11 11:08:56+00:00,2014-01-08 08:00:00+00:00,2014-02-01 15:46:35+00:00,43,9,,female,bullet,11/1/14
656344,250,250,Primary/secondary school costs,Education,To pay the tuition fees and buy necessary articles for her son’s educational purpose. ,IN,India,Dhupguri,INR,334,2014-01-11 11:15:20+00:00,2014-01-08 08:00:00+00:00,2014-02-01 20:24:40+00:00,43,10,,female,bullet,11/1/14
656669,250,250,Farming,Agriculture,To buy seeds and fertilizers to grow broad beans ,IN,India,Dhupguri,INR,334,2014-01-13 12:20:33+00:00,2014-01-01 08:00:00+00:00,2014-02-01 13:11:08+00:00,43,9,,female,bullet,13/1/14
656641,250,250,Primary/secondary school costs,Education,To pay tuitions fees and to purchase educational tools for her son,IN,India,Dhupguri,INR,334,2014-01-13 11:41:40+00:00,2014-01-08 08:00:00+00:00,2014-02-01 19:30:05+00:00,43,10,user_favorite,female,bullet,13/1/14
656664,250,250,Timber Sales,Construction,To purchase timber to sell,IN,India,Dhupguri,INR,334,2014-01-13 12:09:19+00:00,2014-01-01 08:00:00+00:00,2014-02-01 21:00:43+00:00,43,6,,female,bullet,13/1/14
656649,250,250,Primary/secondary school costs,Education,To pay private tuition fees and school fees for her daughter,IN,India,Dhupguri,INR,334,2014-01-13 11:54:40+00:00,2014-01-08 08:00:00+00:00,2014-02-01 11:16:12+00:00,43,8,user_favorite,female,bullet,13/1/14
656661,250,250,Farming,Agriculture,To buy potato seeds and fertilizers for cultivating potatoes.,IN,India,Dhupguri,INR,334,2014-01-13 12:05:58+00:00,2014-01-01 08:00:00+00:00,2014-02-02 00:25:56+00:00,43,6,,female,bullet,13/1/14
656647,175,175,Primary/secondary school costs,Education,To buy educational equipment and to pay tuition fees for her son,IN,India,Dhupguri,INR,334,2014-01-13 11:50:24+00:00,2014-01-08 08:00:00+00:00,2014-02-01 14:07:40+00:00,43,1,,female,bullet,13/1/14
656653,250,250,Dairy,Agriculture,To purchase a dairy cow to start a dairy products business.,IN,India,Dhupguri,INR,334,2014-01-13 11:59:35+00:00,2014-01-02 08:00:00+00:00,2014-02-01 22:45:04+00:00,43,10,,female,bullet,13/1/14
656657,250,250,Fruits & Vegetables,Food,To purchase more coconuts to sell,IN,India,Dhupguri,INR,334,2014-01-13 12:03:32+00:00,2014-01-02 08:00:00+00:00,2014-02-02 00:01:49+00:00,43,7,,female,bullet,13/1/14
656667,250,250,Farming,Agriculture,To purchase good quality potato seeds and fertilizers for cultivating potatoes. ,IN,India,Dhupguri,INR,334,2014-01-13 12:16:00+00:00,2014-01-01 08:00:00+00:00,2014-02-02 05:24:52+00:00,43,9,,female,bullet,13/1/14
657042,4900,4900,Dairy,Agriculture,to purchase a Jersey cow and its fodder so that she can increase her milk production.,IN,India,"Balipatna, Odisha",INR,241,2014-01-14 10:38:42+00:00,2013-12-31 08:00:00+00:00,2014-01-17 21:14:21+00:00,43,161,"#Animals, #Biz Durable Asset, #Parent","female, female, female, female, female, female, female, female, female, female",bullet,14/1/14
657141,1325,1325,Weaving,Arts,To purchase a variety of yarn and threads,IN,India,Imphal East,INR,238,2014-01-14 13:56:26+00:00,2013-12-18 08:00:00+00:00,2014-01-15 03:26:00+00:00,43,43,,"female, female, female, female, female, female, female, female",bullet,14/1/14
